variablename,namef,Field,entity,name,array,instance,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
country_birth,f.1647.0.0,1647,participant,p1647_i0,,0,integer,,data_coding_100420,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,,,Country of birth (UK/elsewhere) | Instance 0,
country_birth,f.1647.0.0,1647,participant,p1647_i1,,1,integer,,data_coding_100420,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,,,Country of birth (UK/elsewhere) | Instance 1,
country_birth,f.1647.0.0,1647,participant,p1647_i2,,2,integer,,data_coding_100420,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,,,Country of birth (UK/elsewhere) | Instance 2,
breastfed,f.1677.0.0,1677,participant,p1677_i0,,0,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,,,Breastfed as a baby | Instance 0,
breastfed,f.1677.0.0,1677,participant,p1677_i1,,1,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,,,Breastfed as a baby | Instance 1,
breastfed,f.1677.0.0,1677,participant,p1677_i2,,2,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,,,Breastfed as a baby | Instance 2,
body_size_10yrs_old,f.1687.0.0,1687,participant,p1687_i0,,0,integer,,data_coding_100428,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,,,Comparative body size at age 10 | Instance 0,
body_size_10yrs_old,f.1687.0.0,1687,participant,p1687_i1,,1,integer,,data_coding_100428,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,,,Comparative body size at age 10 | Instance 1,
body_size_10yrs_old,f.1687.0.0,1687,participant,p1687_i2,,2,integer,,data_coding_100428,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,,,Comparative body size at age 10 | Instance 2,
height_10yrs_old,f.1697.0.0,1697,participant,p1697_i0,,0,integer,,data_coding_100429,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,,,Comparative height size at age 10 | Instance 0,
height_10yrs_old,f.1697.0.0,1697,participant,p1697_i1,,1,integer,,data_coding_100429,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,,,Comparative height size at age 10 | Instance 1,
height_10yrs_old,f.1697.0.0,1697,participant,p1697_i2,,2,integer,,data_coding_100429,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,,,Comparative height size at age 10 | Instance 2,
handedness,f.1707.0.0,1707,participant,p1707_i0,,0,integer,,data_coding_100430,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,,,Handedness (chirality/laterality) | Instance 0,
handedness,f.1707.0.0,1707,participant,p1707_i1,,1,integer,,data_coding_100430,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,,,Handedness (chirality/laterality) | Instance 1,
handedness,f.1707.0.0,1707,participant,p1707_i2,,2,integer,,data_coding_100430,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,,,,Handedness (chirality/laterality) | Instance 2,
adopted,f.1767.0.0,1767,participant,p1767_i0,,0,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1767,,,,Adopted as a child | Instance 0,
adopted,f.1767.0.0,1767,participant,p1767_i1,,1,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1767,,,,Adopted as a child | Instance 1,
adopted,f.1767.0.0,1767,participant,p1767_i2,,2,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1767,,,,Adopted as a child | Instance 2,
adopted,f.1767.0.0,1767,participant,p1767_i3,,3,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1767,,,,Adopted as a child | Instance 3,
part_multiple_birth,f.1777.0.0,1777,participant,p1777_i0,,0,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,,,Part of a multiple birth | Instance 0,
part_multiple_birth,f.1777.0.0,1777,participant,p1777_i1,,1,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,,,Part of a multiple birth | Instance 1,
part_multiple_birth,f.1777.0.0,1777,participant,p1777_i2,,2,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,,,,Part of a multiple birth | Instance 2,
maternal_smoking,f.1787.0.0,1787,participant,p1787_i0,,0,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,,,Maternal smoking around birth | Instance 0,
maternal_smoking,f.1787.0.0,1787,participant,p1787_i1,,1,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,,,Maternal smoking around birth | Instance 1,
maternal_smoking,f.1787.0.0,1787,participant,p1787_i2,,2,integer,,data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,,,,Maternal smoking around birth | Instance 2,
birth_weight,f.20022.0.0,20022,participant,p20022_i0,,0,float,,,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,,,,Birth weight | Instance 0,Kg
birth_weight,f.20022.0.0,20022,participant,p20022_i1,,1,float,,,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,,,,Birth weight | Instance 1,Kg
birth_weight,f.20022.0.0,20022,participant,p20022_i2,,2,float,,,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022,,,,Birth weight | Instance 2,Kg
birth_weight_known,f.120.0.0,120,participant,p120_i0,,0,integer,,data_coding_100258,,,Assessment centre > Verbal interview > Early life factors,,,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=120,,,,Birth weight known | Instance 0,
