Variable,Description,URL,Category,UKB.dataset.ID,Field.ID,entity,name,instance,array,type,primary_key_type,coding_name,concept,description,folder_path,is_multi_select,is_sparse_coding,linkout,longitudinal_axis_type,referenced_entity_field,relationship,title,units
country_birth,Country of birth (UK/elsewhere),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,Early life factors,f.1647.0.0,1647,participant,p1647_i0,0,,integer,"",data_coding_100420,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,,,Country of birth (UK/elsewhere) | Instance 0,""
country_birth,Country of birth (UK/elsewhere),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,Early life factors,f.1647.0.0,1647,participant,p1647_i1,1,,integer,"",data_coding_100420,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,,,Country of birth (UK/elsewhere) | Instance 1,""
country_birth,Country of birth (UK/elsewhere),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,Early life factors,f.1647.0.0,1647,participant,p1647_i2,2,,integer,"",data_coding_100420,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,,,,Country of birth (UK/elsewhere) | Instance 2,""
breastfed,Breastfed as a baby,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,Early life factors,f.1677.0.0,1677,participant,p1677_i0,0,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,,,Breastfed as a baby | Instance 0,""
breastfed,Breastfed as a baby,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,Early life factors,f.1677.0.0,1677,participant,p1677_i1,1,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,,,Breastfed as a baby | Instance 1,""
breastfed,Breastfed as a baby,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,Early life factors,f.1677.0.0,1677,participant,p1677_i2,2,,integer,"",data_coding_100349,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,,,,Breastfed as a baby | Instance 2,""
body_size_10yrs_old,Comparative body size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,Early life factors,f.1687.0.0,1687,participant,p1687_i0,0,,integer,"",data_coding_100428,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,,,Comparative body size at age 10 | Instance 0,""
body_size_10yrs_old,Comparative body size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,Early life factors,f.1687.0.0,1687,participant,p1687_i1,1,,integer,"",data_coding_100428,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,,,Comparative body size at age 10 | Instance 1,""
body_size_10yrs_old,Comparative body size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,Early life factors,f.1687.0.0,1687,participant,p1687_i2,2,,integer,"",data_coding_100428,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,,,,Comparative body size at age 10 | Instance 2,""
height_10yrs_old,Comparative height size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,Early life factors,f.1697.0.0,1697,participant,p1697_i0,0,,integer,"",data_coding_100429,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,,,Comparative height size at age 10 | Instance 0,""
height_10yrs_old,Comparative height size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,Early life factors,f.1697.0.0,1697,participant,p1697_i1,1,,integer,"",data_coding_100429,,,Assessment centre > Touchscreen > Early life factors,"","",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,,,,Comparative height size at age 10 | Instance 1,""
